                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.1509,                 1.3984,                 1.3287,                0.64433,                0.51054,                0.55567,                0.39685,                 1.0517,                 1.1302,                 1.2448,              0.0069788,              0.0069788,              0.0069788
                     94,                 1.1462,                 1.3945,                 1.3293,                0.64824,                0.51051,                0.55588,                0.39777,                 1.0534,                 1.1319,                 1.2458,              0.0069456,              0.0069456,              0.0069456
                     95,                  1.147,                 1.3975,                 1.3311,                0.65035,                 0.5105,                0.55868,                0.39879,                 1.0537,                 1.1278,                 1.2462,              0.0069124,              0.0069124,              0.0069124
                     96,                 1.1477,                 1.3929,                  1.329,                   0.65,                0.50944,                0.55695,                0.39861,                 1.0522,                 1.1274,                  1.245,              0.0068792,              0.0068792,              0.0068792
                     97,                 1.1485,                 1.3948,                 1.3281,                0.64739,                0.50936,                0.55766,                0.39997,                 1.0528,                 1.1251,                 1.2445,               0.006846,               0.006846,               0.006846
                     98,                 1.1444,                 1.3948,                 1.3289,                0.63859,                 0.5127,                0.55678,                0.39914,                 1.0523,                 1.1241,                 1.2441,              0.0068128,              0.0068128,              0.0068128
                     99,                  1.144,                 1.3917,                 1.3276,                0.64773,                0.51218,                0.55863,                0.40009,                 1.0542,                 1.1246,                 1.2446,              0.0067796,              0.0067796,              0.0067796
                    100,                 1.1457,                 1.3884,                 1.3259,                0.63818,                0.51798,                0.56045,                0.40123,                 1.0519,                 1.1226,                 1.2431,              0.0067464,              0.0067464,              0.0067464
                    101,                 1.1476,                 1.3884,                 1.3273,                0.65321,                0.50832,                0.55917,                0.40118,                 1.0518,                 1.1225,                 1.2422,              0.0067132,              0.0067132,              0.0067132
                    102,                 1.1397,                 1.3827,                 1.3226,                0.64701,                0.51541,                0.56055,                0.40141,                 1.0513,                 1.1191,                 1.2413,                0.00668,                0.00668,                0.00668
                    103,                 1.1401,                 1.3825,                 1.3207,                0.64679,                0.51773,                0.56107,                 0.4029,                   1.05,                 1.1189,                 1.2404,              0.0066468,              0.0066468,              0.0066468
                    104,                 1.1411,                 1.3865,                 1.3218,                0.64822,                0.52007,                0.56169,                0.40249,                 1.0503,                 1.1185,                 1.2398,              0.0066136,              0.0066136,              0.0066136
                    105,                  1.145,                 1.3891,                 1.3244,                0.65189,                0.51823,                0.56412,                0.40455,                 1.0471,                 1.1158,                 1.2371,              0.0065804,              0.0065804,              0.0065804
                    106,                 1.1344,                 1.3731,                 1.3195,                0.64419,                0.51831,                0.56097,                0.40337,                 1.0468,                  1.116,                  1.236,              0.0065472,              0.0065472,              0.0065472
                    107,                 1.1413,                  1.383,                  1.322,                0.64908,                0.52015,                0.56426,                0.40481,                 1.0486,                 1.1163,                 1.2373,               0.006514,               0.006514,               0.006514
                    108,                  1.141,                 1.3747,                 1.3188,                 0.6527,                0.51494,                0.56191,                0.40299,                 1.0469,                 1.1153,                 1.2364,              0.0064808,              0.0064808,              0.0064808
                    109,                 1.1402,                 1.3768,                 1.3211,                0.65191,                0.51896,                0.56566,                0.40605,                 1.0469,                  1.111,                  1.237,              0.0064476,              0.0064476,              0.0064476
                    110,                  1.138,                  1.373,                 1.3202,                0.65485,                0.51715,                0.56501,                0.40679,                  1.047,                 1.1112,                 1.2363,              0.0064144,              0.0064144,              0.0064144
                    111,                 1.1375,                 1.3739,                 1.3211,                0.65146,                0.52165,                0.56586,                0.40675,                 1.0442,                 1.1117,                  1.234,              0.0063812,              0.0063812,              0.0063812
                    112,                 1.1373,                 1.3718,                 1.3203,                0.66139,                0.51777,                0.56684,                0.40756,                 1.0453,                 1.1098,                 1.2365,               0.006348,               0.006348,               0.006348
                    113,                  1.135,                 1.3687,                 1.3178,                0.64697,                0.52329,                0.56676,                0.40723,                 1.0456,                 1.1085,                 1.2356,              0.0063148,              0.0063148,              0.0063148
                    114,                 1.1395,                  1.374,                 1.3217,                0.65713,                 0.5176,                0.56586,                0.40665,                 1.0436,                 1.1077,                 1.2343,              0.0062816,              0.0062816,              0.0062816
                    115,                 1.1434,                 1.3736,                 1.3202,                0.65047,                0.52308,                0.56388,                 0.4046,                 1.0445,                 1.1093,                  1.235,              0.0062484,              0.0062484,              0.0062484
